LEVEL	WORD	POS	SEMANTIC_GROUP	RUSSIAN_TRANSLATION	DEFINITION	EXAMPLE_SENTENCE
B2	concept	noun	academic	концепция	An abstract idea or general notion.	The concept of justice is interpreted differently across cultures.
B2	theory	noun	academic	теория	A formal set of ideas that explains facts or events.	Darwin's theory of evolution changed the way we understand life.
B2	evidence	noun	academic	доказательство	Facts or information showing whether something is true.	The court needed more evidence before it could reach a verdict.
B2	analysis	noun	academic	анализ	A detailed examination of something to understand it better.	Her analysis of the data revealed several unexpected patterns.
B2	context	noun	academic	контекст	The circumstances that help to explain something.	You need to understand the historical context to appreciate the poem.
B2	approach	noun	academic	подход	A way of dealing with a situation or problem.	The teacher used a different approach to explain the difficult concept.
B2	assume	verb	academic	предполагать	To accept something as true without checking it first.	She assumed the meeting had been cancelled because nobody showed up.
B2	conclude	verb	academic	делать вывод	To decide something after thinking about all the facts.	The study concluded that regular sleep improves academic performance.
B2	define	verb	academic	определять	To explain the meaning of a word or concept exactly.	The report defines success in terms of long-term sustainability.
B2	evaluate	verb	academic	оценивать	To judge how good, useful, or valuable something is.	Students are asked to evaluate the effectiveness of each argument.
B2	indicate	verb	academic	указывать	To show that something exists or is likely.	The results indicate that the treatment was highly effective.
B2	significant	adjective	academic	значительный	Important or large enough to have an effect.	There was a significant improvement in air quality after the new law.
B2	accurate	adjective	academic	точный	Correct in every detail; without errors.	She gave an accurate description of the man she had seen.
B2	appropriate	adjective	academic	подходящий	Suitable or right for a particular situation.	Is this film appropriate for children under twelve?
B2	relevant	adjective	academic	актуальный/уместный	Closely connected to what is being discussed.	Please make sure all information in the report is relevant to the topic.
B2	consequence	noun	society	последствие	A result or effect of something that happened earlier.	The consequences of climate change are already being felt worldwide.
B2	impact	noun	society	влияние/удар	The strong effect that something has on a situation or person.	The factory closure had a devastating impact on the local community.
B2	inequality	noun	society	неравенство	An unfair situation where some people have more than others.	The report highlighted growing economic inequality in the country.
B2	poverty	noun	society	бедность	The state of being extremely poor.	Millions of people around the world still live in extreme poverty.
B2	reform	noun	society	реформа	A change made to improve a system or institution.	The government introduced sweeping reforms to the education system.
B2	conflict	noun	society	конфликт	A serious disagreement or fight between people or groups.	The conflict between the two groups had lasted for generations.
B2	rights	noun	society	права	Legal or moral entitlements belonging to a person.	Everyone has the right to freedom of expression.
B2	justice	noun	society	справедливость	Fair treatment of people under the law.	She devoted her career to fighting for social justice.
B2	authority	noun	society	власть/авторитет	The power or right to give orders and make decisions.	The police have the authority to stop and search anyone they suspect.
B2	campaign	noun	society	кампания	An organised effort to achieve a goal, often in politics or society.	She ran a successful campaign to raise money for cancer research.
B2	protest	noun	society	протест	An action expressing strong disapproval of something.	Thousands of people joined the protest against the new tax.
B2	diverse	adjective	society	разнообразный	Including many different types of people or things.	The city has a diverse population from many different countries.
B2	global	adjective	society	глобальный	Relating to the whole world.	Climate change is a global problem that requires international cooperation.
B2	policy	noun	society	политика (курс)	A plan or set of rules adopted by a government or organisation.	The company's policy on flexible working has attracted talented employees.
B2	debate	noun	society	дискуссия	A formal discussion of a topic in which people express opposing views.	There was a heated debate about the proposed new highway.
B2	exploit	verb	environment	эксплуатировать	To use resources in a way that is unfair or harmful.	The company was criticised for exploiting natural resources without care.
B2	sustainable	adjective	environment	устойчивый/экологичный	Able to continue without damaging the environment or using too many resources.	The charity promotes sustainable farming practices in developing countries.
B2	emission	noun	environment	выброс	A gas or substance released into the atmosphere.	The factory was fined for producing excessive carbon emissions.
B2	habitat	noun	environment	среда обитания	The natural environment in which a species normally lives.	Deforestation is destroying the habitat of many endangered animals.
B2	conservation	noun	environment	охрана природы	The protection of natural things such as wildlife and habitats.	She works for a conservation charity that protects marine turtles.
B2	drought	noun	environment	засуха	A long period of very dry weather with little or no rain.	The drought destroyed the crops and caused a serious food shortage.
B2	extinction	noun	environment	вымирание	The permanent disappearance of all members of a species.	The white rhino is on the brink of extinction due to poaching.
B2	renewable	adjective	environment	возобновляемый	Able to be replaced naturally or used again without running out.	The country is investing in renewable energy sources like wind and solar.
B2	toxic	adjective	environment	токсичный	Poisonous and capable of causing serious harm.	Workers had to wear masks because the fumes were toxic.
B2	ecosystem	noun	environment	экосистема	All the plants, animals, and organisms in a particular area.	Coral reefs support a remarkably complex underwater ecosystem.
B2	innovation	noun	business	инновация	A new idea or method that improves something.	The company won an award for its innovation in packaging design.
B2	strategy	noun	business	стратегия	A plan designed to achieve a long-term goal.	The marketing strategy targeted young adults aged eighteen to thirty.
B2	competition	noun	business	конкуренция	A situation in which people or companies try to do better than others.	The competition in the smartphone market is intense.
B2	revenue	noun	business	доход/выручка	The money a business earns from its activities.	The company's annual revenue exceeded one billion pounds last year.
B2	consumer	noun	business	потребитель	A person who buys goods or services for their own use.	Consumers are becoming more aware of environmental issues.
B2	negotiate	verb	business	вести переговоры	To discuss something formally in order to reach an agreement.	She negotiated a better salary before accepting the job offer.
B2	investment	noun	business	инвестиция	Money put into a business or project to make a profit in the future.	The government announced a large investment in public transport.
B2	expand	verb	business	расширяться	To become larger or to make something larger.	The company plans to expand into the Asian market next year.
B2	merge	verb	business	объединяться	To combine two or more companies or organisations into one.	The two airlines merged to create the largest carrier in Europe.
B2	bankruptcy	noun	business	банкротство	The state of being unable to pay debts, declared officially.	The company declared bankruptcy after years of financial losses.
B2	anxiety	noun	psychology	тревога	A feeling of worry and unease about uncertain events.	She felt deep anxiety before every public speaking engagement.
B2	depression	noun	psychology	депрессия	A serious mental condition with persistent feelings of sadness.	He was diagnosed with depression and started therapy.
