LEVEL	WORD	POS	SEMANTIC_GROUP	RUSSIAN_TRANSLATION	DEFINITION	EXAMPLE_SENTENCE
C2	ubiquitous	adjective	advanced_descriptions	вездесущий	Seeming to appear everywhere at the same time.	Smartphones have become ubiquitous in modern daily life.
C2	ephemeral	adjective	advanced_descriptions	мимолётный	Lasting for only a short time; transient.	Fame in the modern age is often ephemeral, lasting just a few weeks.
C2	esoteric	adjective	advanced_descriptions	эзотерический	Understood only by a small number of people with specialist knowledge.	The professor's lecture was so esoteric that only his colleagues could follow it.
C2	arcane	adjective	advanced_descriptions	загадочный/тайный	Known or understood by very few people; mysterious.	She specialised in the arcane details of medieval contract law.
C2	diaphanous	adjective	advanced_descriptions	прозрачный/тонкий	Light, delicate, and translucent.	The bride wore a diaphanous veil that floated in the breeze.
C2	lugubrious	adjective	advanced_descriptions	мрачный/унылый	Looking or sounding sad and dismal.	He delivered the bad news in a lugubrious tone that matched the moment.
C2	sycophantic	adjective	advanced_descriptions	льстивый	Excessively flattering to gain advantage; obsequious.	The manager was surrounded by sycophantic assistants who never challenged him.
C2	perfidious	adjective	advanced_descriptions	вероломный	Deceitful and untrustworthy; guilty of betrayal.	His perfidious actions destroyed the trust that had taken years to build.
C2	parsimonious	adjective	advanced_descriptions	скупой	Extremely unwilling to spend money or use resources.	He was so parsimonious that he refused to heat his home in winter.
C2	obstreperous	adjective	advanced_descriptions	шумный/буйный	Noisy and difficult to control.	The obstreperous crowd had to be calmed by security staff.
C2	alleviate	verb	advanced_verbs	облегчать	To make suffering or a problem less severe.	The medication helped to alleviate the pain but did not cure the disease.
C2	exacerbate	verb	advanced_verbs	обострять	To make a bad situation worse.	The drought exacerbated the already critical food shortage.
C2	circumvent	verb	advanced_verbs	обходить (закон)	To find a clever way to avoid a rule or problem.	The company used offshore accounts to circumvent tax laws.
C2	subjugate	verb	advanced_verbs	подчинять	To bring under control by force.	The empire subjugated dozens of peoples across three continents.
C2	ameliorate	verb	advanced_verbs	улучшать (положение)	To make something bad or unsatisfactory better.	New housing policies were introduced to ameliorate conditions for the poor.
C2	expunge	verb	advanced_verbs	вычеркивать/стирать	To remove something completely, as if it never existed.	She wanted to expunge the humiliating episode from her memory forever.
C2	obfuscate	verb	advanced_verbs	запутывать	To make something unclear or difficult to understand deliberately.	The report seemed designed to obfuscate rather than clarify the facts.
C2	inundate	verb	advanced_verbs	наводнять	To overwhelm with a large quantity of something.	The charity was inundated with donations after the television appeal.
C2	capitulate	verb	advanced_verbs	капитулировать	To stop resisting and accept defeat or demands.	After weeks of pressure, the government capitulated to the protesters' demands.
C2	vacillate	verb	advanced_verbs	колебаться	To keep changing your opinion or feelings about something.	He vacillated between accepting the offer and staying in his current role.
C2	zeitgeist	noun	advanced_nouns	дух времени	The general mood or spirit of a particular period of history.	Her novel perfectly captured the zeitgeist of the nineteen sixties.
C2	hubris	noun	advanced_nouns	высокомерие	Excessive pride or self-confidence, especially leading to downfall.	His hubris blinded him to the obvious flaws in his strategy.
C2	euphemism	noun	advanced_nouns	эвфемизм	A mild word used instead of a direct word for something unpleasant.	'Passed away' is a common euphemism for 'died'.
C2	paradigm	noun	advanced_nouns	парадигма	A typical example or pattern; a world view underlying theories.	The discovery caused a paradigm shift in how we understand the universe.
C2	dichotomy	noun	advanced_nouns	дихотомия	A division into two opposite or contrasting things.	She explored the dichotomy between nature and nurture in her research.
C2	anomaly	noun	advanced_nouns	аномалия	Something that deviates from what is standard or expected.	The data point was an anomaly that could not be explained by any existing theory.
C2	axiom	noun	advanced_nouns	аксиома	A statement that is accepted as true without proof.	It is an axiom of economics that people respond to incentives.
C2	juxtaposition	noun	advanced_nouns	сопоставление	The placing of two contrasting things next to each other for effect.	The juxtaposition of wealth and poverty was stark in the city centre.
C2	catharsis	noun	advanced_nouns	катарсис	The release of strong emotions through an artistic experience.	The play provided catharsis for audiences dealing with grief.
C2	entropy	noun	advanced_nouns	энтропия	A gradual decline into disorder and chaos.	Without maintenance, every system tends towards entropy over time.
C2	myopic	adjective	advanced_thinking	близорукий (переносн.)	Short-sighted; lacking foresight or long-term planning.	Critics said the policy was myopic and ignored future consequences.
C2	perspicacious	adjective	advanced_thinking	проницательный	Having a ready insight into things; sharp and perceptive.	Her perspicacious analysis identified the flaw before anyone else did.
C2	sagacious	adjective	advanced_thinking	мудрый/проницательный	Having good judgement and wisdom, especially in practical matters.	The sagacious investor avoided the bubble that ruined many others.
C2	didactic	adjective	advanced_thinking	дидактический	Intended to teach or instruct, sometimes in a preachy way.	The novel is entertaining but also quite didactic in its moral message.
C2	quixotic	adjective	advanced_thinking	донкихотский	Hopelessly idealistic and unrealistic.	His quixotic plan to cycle around the world was met with scepticism.
C2	solipsistic	adjective	advanced_thinking	солипсистский	Focused only on one's own existence; self-absorbed.	His solipsistic worldview made it impossible for him to consider others' needs.
C2	tendentious	adjective	advanced_thinking	тенденциозный	Promoting a particular cause or point of view; biased.	The journalist's tendentious reporting angered supporters of the other side.
C2	pedantic	adjective	advanced_thinking	педантичный	Too concerned with minor details and rules.	His pedantic corrections to every minor grammatical error were exhausting.
C2	sanguine	adjective	advanced_thinking	оптимистичный (в трудных обстоятельствах)	Optimistic, especially in a difficult situation.	She remained sanguine about the company's chances despite the setbacks.
C2	inimical	adjective	advanced_thinking	враждебный/вредный	Harmful to or opposed to something.	The regime was inimical to any form of free expression.
C2	proclivity	noun	character	склонность	A natural tendency towards a particular behaviour or activity.	He had a proclivity for collecting rare books.
C2	propensity	noun	character	предрасположенность	A natural inclination or tendency to behave in a particular way.	She had a propensity for taking on too many tasks at once.
C2	truculent	adjective	character	задиристый/агрессивный	Eager to argue or fight; aggressive.	The truculent defendant refused to answer questions calmly.
C2	loquacious	adjective	character	болтливый	Talking a great deal; tending to talk too much.	He was loquacious at parties but silent when it mattered.
C2	taciturn	adjective	character	молчаливый	Saying very little; not communicative.	She was taciturn by nature and preferred to listen rather than speak.
C2	magnanimous	adjective	character	великодушный	Generous and forgiving, especially towards a rival or enemy.	He was magnanimous in victory and congratulated the opposing team warmly.
C2	querulous	adjective	character	ворчливый	Complaining in a petulant or whining manner.	The querulous customer complained about every aspect of the service.
C2	insouciant	adjective	character	беззаботный/безразличный	Casually calm and relaxed; showing no anxiety.	She was insouciant about the criticism and continued her work undisturbed.
C2	diffident	adjective	character	робкий/неуверенный	Modest and shy due to lack of self-confidence.	He was diffident about sharing his ideas in large meetings.
