LEVEL	WORD	POS	SEMANTIC_GROUP	RUSSIAN_TRANSLATION	DEFINITION	EXAMPLE_SENTENCE
A1	mother	noun	family	мать	A woman in relation to her child or children.	My mother cooks dinner every evening.
A1	father	noun	family	отец	A man in relation to his child or children.	My father drives me to school on Mondays.
A1	brother	noun	family	брат	A boy or man who has the same parents as another person.	My brother is three years older than me.
A1	sister	noun	family	сестра	A girl or woman who has the same parents as another person.	My sister and I share a bedroom.
A1	son	noun	family	сын	A male child in relation to his parents.	Their son started university this year.
A1	daughter	noun	family	дочь	A female child in relation to her parents.	Their daughter won first prize in the competition.
A1	grandfather	noun	family	дедушка	The father of a person's mother or father.	My grandfather tells me stories about his childhood.
A1	grandmother	noun	family	бабушка	The mother of a person's mother or father.	My grandmother knits sweaters for all of us.
A1	husband	noun	family	муж	A man to whom a woman is married.	Her husband works at the hospital.
A1	baby	noun	family	младенец	A very young child who cannot yet walk or talk.	The baby cried all night and the parents were exhausted.
A1	friend	noun	family	друг	A person you know well and like spending time with.	My best friend lives next door to me.
A1	head	noun	body	голова	The top part of the body that contains the brain, eyes, and mouth.	She nodded her head to show she agreed.
A1	eye	noun	body	глаз	The organ in your face that you use to see.	He closed his eyes and tried to sleep.
A1	ear	noun	body	ухо	The organ on each side of your head that you use to hear.	She put her hands over her ears because the music was too loud.
A1	nose	noun	body	нос	The part of your face above your mouth that you use to breathe and smell.	He blew his nose and threw away the tissue.
A1	mouth	noun	body	рот	The opening in your face that you use to eat and speak.	Open your mouth wide and say 'ah'.
A1	hand	noun	body	рука (кисть)	The part at the end of your arm that has four fingers and a thumb.	She held the pen in her right hand.
A1	leg	noun	body	нога	One of the two long parts of the body used for standing and walking.	He broke his leg when he fell off the bicycle.
A1	hair	noun	body	волосы	The mass of thin threads that grows on your head.	She has long red hair and green eyes.
A1	face	noun	body	лицо	The front part of your head, from your forehead to your chin.	She washed her face before going to bed.
A1	apple	noun	food	яблоко	A round fruit with red, yellow, or green skin and firm white flesh.	She ate an apple for breakfast instead of cereal.
A1	bread	noun	food	хлеб	A food made from flour, water, and yeast that is baked in an oven.	He cut two slices of bread for his sandwich.
A1	milk	noun	food	молоко	A white liquid produced by cows and other animals that people drink.	She poured cold milk over her cereal.
A1	water	noun	food	вода	A clear liquid with no colour, smell, or taste that people drink.	Drink at least eight glasses of water every day.
A1	egg	noun	food	яйцо	An oval object with a hard shell that a bird produces and that people eat.	She fried two eggs in a pan for breakfast.
A1	cheese	noun	food	сыр	A solid food made from milk that can be soft or hard.	He put a slice of cheese on his sandwich.
A1	chicken	noun	food	курица	The meat of a chicken used as food.	We had roast chicken for Sunday dinner.
A1	rice	noun	food	рис	Small white or brown grains that are cooked and eaten as food.	She served the curry on a bed of boiled rice.
A1	soup	noun	food	суп	A liquid food made by cooking vegetables or meat in water.	He ate a bowl of hot soup to warm up.
A1	coffee	noun	food	кофе	A hot dark drink made from roasted and ground coffee beans.	She drinks two cups of coffee every morning.
A1	tea	noun	food	чай	A hot drink made by putting dried leaves in boiling water.	Would you like a cup of tea or coffee?
A1	orange	noun	food	апельсин	A round juicy fruit with a thick orange skin.	She peeled an orange and ate it piece by piece.
A1	banana	noun	food	банан	A long curved fruit with a yellow skin.	He put a banana in his bag to eat as a snack later.
A1	cake	noun	food	торт	A sweet food made from flour, sugar, butter, and eggs, baked in an oven.	She baked a chocolate cake for her son's birthday.
A1	house	noun	home	дом	A building where people live, usually with a garden.	They bought a small house near the park.
A1	room	noun	home	комната	A separate area inside a building with its own walls and door.	Each child has their own room in the new apartment.
A1	bed	noun	home	кровать	A piece of furniture that you sleep on.	She made her bed every morning before going to school.
A1	door	noun	home	дверь	A flat object that opens and closes to allow entry to a room or building.	Please close the door quietly when you leave.
A1	window	noun	home	окно	A glass opening in a wall that lets light and air into a room.	She opened the window to let in some fresh air.
A1	table	noun	home	стол	A piece of furniture with a flat top and legs, used for eating or working.	They sat at the table and ate dinner together.
A1	chair	noun	home	стул	A piece of furniture with a back and legs that one person sits on.	He pulled up a chair and sat next to her.
A1	kitchen	noun	home	кухня	The room in a house where food is prepared and cooked.	She spent an hour in the kitchen preparing dinner.
A1	bathroom	noun	home	ванная комната	A room in a house with a bath or shower and usually a toilet.	The bathroom is at the end of the hallway.
A1	garden	noun	home	сад	An area of land next to a house where flowers and vegetables are grown.	The children played in the garden all afternoon.
A1	red	adjective	colours	красный	Having the colour of blood or a ripe tomato.	She wore a red dress to the party.
A1	blue	adjective	colours	синий	Having the colour of a clear sky on a sunny day.	He painted his bedroom blue.
A1	green	adjective	colours	зелёный	Having the colour of grass or fresh leaves.	The traffic light turned green and the cars moved forward.
A1	yellow	adjective	colours	жёлтый	Having the colour of a ripe lemon or the sun.	She bought a bunch of yellow flowers for her mother.
A1	black	adjective	colours	чёрный	Having the darkest colour, like night or coal.	He always wears a black jacket to work.
A1	white	adjective	colours	белый	Having the lightest colour, like snow or milk.	The walls of the room were painted white.
A1	one	number	numbers	один	The number 1; a single unit.	She has one brother and two sisters.
A1	two	number	numbers	два	The number 2; one more than one.	He has two dogs and three cats.
A1	three	number	numbers	три	The number 3; one more than two.	We need three chairs for the guests.
A1	ten	number	numbers	десять	The number 10; one more than nine.	She read for ten minutes before bed.
A1	hundred	number	numbers	сто	The number 100; ten times ten.	About a hundred people came to the concert.
A1	eat	verb	basic_verbs	есть	To put food in your mouth and swallow it.	She eats an apple every day at school.
A1	drink	verb	basic_verbs	пить	To take liquid into your mouth and swallow it.	He drinks a glass of water when he wakes up.
A1	sleep	verb	basic_verbs	спать	To rest with your eyes closed and your mind inactive.	Children need to sleep at least nine hours a night.
A1	walk	verb	basic_verbs	идти пешком	To move forward by putting one foot in front of the other.	She walks to school because it's only ten minutes away.
A1	run	verb	basic_verbs	бежать	To move quickly on your feet, faster than walking.	He ran to catch the bus before it left.
A1	sit	verb	basic_verbs	сидеть	To rest with the weight of your body on your bottom.	Please sit down and wait for your name to be called.
A1	stand	verb	basic_verbs	стоять	To be upright on your feet.	She stood at the bus stop for twenty minutes.
A1	read	verb	basic_verbs	читать	To look at and understand written words.	He reads a book before bed every night.
